Commodity-wise- Market-wise Daily-Report-on -01-01-2019,,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Mihipurwa,15,Tonnes,NR,Yellow,2100,2175,2150,Rs/Quintal
Mirzapur,4.5,Tonnes,NR,Red,3360,3420,3390,Rs/Quintal
Mugrabaadshahpur,22,Tonnes,NR,Mudde,3560,3650,3600,Rs/Quintal
Muradnagar,700,Tonnes,NR,Red,2250,2350,2310,Rs/Quintal
Muskara,1.5,Tonnes,NR,Red,3100,3200,3160,Rs/Quintal
Muzzafarnagar,245,Tonnes,NR,Yellow,2300,2350,2325,Rs/Quintal
Naanpara,3,Tonnes,NR,Khandsari,3050,3200,3100,Rs/Quintal
Naugarh,3.5,Tonnes,NR,Red,3080,3140,3115,Rs/Quintal
Nautnava,0.2,Tonnes,NR,Red,2600,2750,2700,Rs/Quintal
Paliakala,5,Tonnes,NR,Pathari,2400,2500,2450,Rs/Quintal
Panchpedwa,21,Tonnes,NR,Red,3200,3250,3225,Rs/Quintal
Partaval,3,Tonnes,NR,Red,2850,2900,2875,Rs/Quintal
Pilibhit,39.5,Tonnes,NR,Yellow,2610,2650,2630,Rs/Quintal
Pratapgarh,2.5,Tonnes,NR,Other,3415,3445,3435,Rs/Quintal
Pukhrayan,19,Tonnes,NR,Other,2790,2990,2890,Rs/Quintal
Puwaha,3,Tonnes,NR,Achhu,2400,2550,2500,Rs/Quintal
Raath,32.5,Tonnes,NR,Other,2600,2800,2700,Rs/Quintal
Rampur,4,Tonnes,NR,Red,2600,2700,2650,Rs/Quintal
Robertsganj,9,Tonnes,NR,Red,3340,3380,3355,Rs/Quintal
Safdarganj,5,Tonnes,NR,Yellow,2900,3000,2950,Rs/Quintal
Saharanpur,160,Tonnes,NR,Yellow,2250,2480,2350,Rs/Quintal
Sahiyapur,1.2,Tonnes,NR,Red,3060,3165,3115,Rs/Quintal
