"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Upleta,7.3,Tonnes,NR,G20,3600,4300,4000,Rs/Quintal
Vadgam,1.6,Tonnes,NR,Other,3950,4000,3975,Rs/Quintal
Vankaner,2,Tonnes,NR,Other,3350,4500,3900,Rs/Quintal
Visavadar,28.02,Tonnes,NR,Other,3575,4315,3945,Rs/Quintal
Vyra,0.14,Tonnes,NR,Local,4000,4500,4250,Rs/Quintal
Haryana,,,,,,,,
Ellanabad,6.5,Tonnes,NR,Other,2925,3195,2925,Rs/Quintal
Ganaur,5,Tonnes,NR,Other,5000,6000,5500,Rs/Quintal
Karnataka,,,,,,,,
Bagalakot,NR,Tonnes,NR,Gejje,4389,4389,4389,Rs/Quintal
Bangalore,3,Tonnes,NR,Big (With Shell),5100,5200,5150,Rs/Quintal
Gadag,5,Tonnes,NR,Balli/Habbu,2428,3769,3029,Rs/Quintal
,,,NR,Gejje,2319,3869,3280,Rs/Quintal
Hubli (Amaragol),NR,Tonnes,NR,Gejje,4119,4119,4119,Rs/Quintal
Koppal,1,Tonnes,NR,Gejje,4459,4919,4761,Rs/Quintal
Kottur,40,Tonnes,NR,Natte,3576,5109,4210,Rs/Quintal
Laxmeshwar,12,Tonnes,NR,Balli/Habbu,2608,4194,3388,Rs/Quintal
Mundaragi,9,Tonnes,NR,Gejje,2769,4559,3524,Rs/Quintal
Mysore (Bandipalya),NR,Tonnes,NR,Other,3207,3207,3207,Rs/Quintal
Raichur,1,Tonnes,NR,Gungri (With Shell),3767,4556,4556,Rs/Quintal
Rona,NR,Tonnes,NR,Gejje,2869,3779,3292,Rs/Quintal
Madhya Pradesh,,,,,,,,
Barad,2.63,Tonnes,NR,Local,3090,4150,3380,Rs/Quintal
Datia,15,Tonnes,NR,Local,3400,3750,3650,Rs/Quintal
Harpalpur,4.3,Tonnes,NR,Balli/Habbu,3490,3500,3495,Rs/Quintal
Kolaras,5,Tonnes,NR,Other,3180,4580,4200,Rs/Quintal
Naugaon,175.59,Tonnes,NR,Groundnut seed,3200,3400,3300,Rs/Quintal
Neemuch,139.5,Tonnes,NR,Bold Kernel,3950,4545,4201,Rs/Quintal
Pichhour,420,Tonnes,NR,Other,1890,1930,1910,Rs/Quintal
Pohari,1.1,Tonnes,NR,Other,3155,4600,3310,Rs/Quintal
Maharashtra,,,,,,,,
Amalner,NR,Tonnes,NR,Other,5025,5025,5025,Rs/Quintal
Amarawati,NR,Tonnes,NR,Other,5000,5500,5250,Rs/Quintal
Kalvan,NR,Tonnes,NR,Other,5100,5100,5100,Rs/Quintal
Nasik,1,Tonnes,NR,Other,5000,6500,5500,Rs/Quintal
Shirpur,NR,Tonnes,NR,Other,4451,4451,4451,Rs/Quintal
Rajasthan,,,,,,,,
Badrisadri,4,Tonnes,NR,Other,3600,3931,3768,Rs/Quintal
Bhilwara,3.1,Tonnes,NR,Other,4000,4500,4250,Rs/Quintal
Bikaner (Grain),1527.6,Tonnes,NR,Other,3060,4301,3681,Rs/Quintal
Chaksu,1.1,Tonnes,NR,Other,4150,4150,4150,Rs/Quintal
Chomu,282.9,Tonnes,NR,Other,3670,4590,4000,Rs/Quintal
Jaipur(Grain)(Chandpole),21,Tonnes,NR,Other,4000,5200,4600,Rs/Quintal
Jodhpur (Grain)(Mandor),2.8,Tonnes,NR,Other,3700,3900,3800,Rs/Quintal
Jodhpur(Grain)(Phalodi),3.3,Tonnes,NR,Other,3500,4150,3825,Rs/Quintal
Lunkaransar,40.85,Tonnes,NR,Other,3850,4180,4015,Rs/Quintal
